chr	lead_id	lead_bp	left_raw	right_raw	left_dist	right_dist	size	1kg	hg38id_short	left_bound	right_bound	nearest_gene
chr12	chr12_39956045	39956045	39955246	40266701	1500	310656	312156	True	chr12_39956045	39954545	40266701	SLC2A13
chr12	chr12_40172990	40172990	40169419	40220632	3571	47642	51213	True	chr12_40172990	40169419	40220632	LRRK2
chr2	chr2_61542158	61542158	61192440	61616848	349718	74690	424408	True	chr2_61542158	61192440	61616848	XPO1
chr21	chr21_38965849	38965849	38951956	40577012	13893	1611163	1625056	True	chr21_38965849	38951956	40577012	DSCAM
chr1	chr1_242959059	242959059	242913144	243546888	45915	587829	633744	True	chr1_242959059	242913144	243546888	AKT3
chr17	chr17_45256927	45256927	44402945	45363959	853982	107032	961014	True	chr17_45256927	44402945	45363959	GPATCH8/GRN
chr7	chr7_159832638	158605408	158605408	158605408	1500	1500	3000	False	chr7_158605408	158603908	158606908	PTPRN2
chr17	chr17_7138214	7138214	7113747	7237287	24467	99073	123540	True	chr17_7138214	7113747	7237287	PHF23
chr19	chr19_52140010	52140010	49145273	52145898	2994737	5888	3000625	True	chr19_52140010	49145273	52145898	PPFIA3
chr15	chr15_59505023	59505023	59502805	61701503	2218	2196480	2198698	True	chr15_59505023	59502805	61701503	VPS13C
chr17	chr17_62648213	62648213	61779284	62686276	868929	38063	906992	True	chr17_62648213	61779284	62686276	BRIP1
chr14	chr14_49086308	49086308	49036426	54881109	49882	5794801	5844683	True	chr14_49086308	49036426	54881109	GCH1
chr1	chr1_112121774	112121774	112076750	112127742	45024	5968	50992	True	chr1_112121774	112076750	112127742	KCND3
chr2	chr2_135274950	135274950	134834675	135264216	440275	1500	441775	True	chr2_135274950	134834675	135276450	ACMSD
chr8	chr8_1539773	1761106	1761106	1761106	1500	1500	3000	False	chr8_1761106	1759606	1762606	CLN8
chr10	chr10_120567743	120567743	119670121	120571785	897622	4042	901664	True	chr10_120567743	119670121	120571785	BAG3
chr4	chr4_173071978	173071978	169711869	173021792	3360109	1500	3361609	True	chr4_173071978	169711869	173073478	CLCN3
chr17	chr17_15993786	15993786	15870072	16207806	123714	214020	337734	True	chr17_15993786	15870072	16207806	NCOR1
chr16	chr16_1681857	1666009	1666009	1666009	1500	1500	3000	True	chr16_1666009	1664509	1667509	CRAMP1
chr2	chr2_32672438	32672438	32351695	32672791	320743	1500	322243	True	chr2_32672438	32351695	32673938	TTC27
chr3	chr3_17712603	17712603	17282513	17848150	430090	135547	565637	True	chr3_17712603	17282513	17848150	TBC1D5
chr1	chr1_160557282	161419856	161419856	161419856	1500	1500	3000	True	chr1_161419856	161418356	161421356	SDHC
chr12	chr12_122837490	122837490	122833452	122842051	4038	4561	8599	True	chr12_122837490	122833452	122842051	HIP1R
chr17	chr17_17759807	17759807	17740396	17813217	19411	53410	72821	True	chr17_17759807	17740396	17813217	SREBF1
chr6	chr6_113019497	111836412	111836412	111836412	1500	1500	3000	True	chr6_111836412	111834912	111837912	FYN
chr16	chr16_56609304	56609304	50811622	56605968	5797682	1500	5799182	True	chr16_56609304	50811622	56610804	CYLD
chr12	chr12_40131953	40131953	39994073	40374007	137880	242054	379934	True	chr12_40131953	39994073	40374007	LRRK2
chr4	chr4_15717886	15717886	15697861	15735725	20025	17839	37864	True	chr4_15717886	15697861	15735725	BST1
chr3	chr3_182003047	182003047	179199217	182050118	2803830	47071	2850901	True	chr3_182003047	179199217	182050118	PIK3CA
chr4	chr4_17982956	17982956	17847047	18015979	135909	33023	168932	True	chr4_17982956	17847047	18015979	LCORL
chr5	chr5_125388823	125388823	124872055	125428984	516768	40161	556929	True	chr5_125388823	124872055	125428984	ZNF608
chr17	chr17_69157864	69157864	68281293	69180677	876571	22813	899384	True	chr17_69157864	68281293	69180677	SLC16A6
chr4	chr4_173356526	173356526	169996341	173430973	3360185	74447	3434632	True	chr4_173356526	169996341	173430973	MFAP3L
chr9	chr9_34173706	34173706	34154849	34380706	18857	207000	225857	True	chr9_34173706	34154849	34380706	UBAP1
chr1	chr1_160137365	160137365	160204542	161000299	1500	862934	864434	True	chr1_160137365	160135865	161000299	F11R
chr10	chr10_120548988	120548988	119651405	120696011	897583	147023	1044606	True	chr10_120548988	119651405	120696011	BAG3
chr4	chr4_948522	948522	848745	950422	99777	1900	101677	True	chr4_948522	848745	950422	TMEM175
chr4	chr4_79593440	79593440	76252761	79594188	3340679	1500	3342179	True	chr4_79593440	76252761	79594940	FAM47E-STBD1
chr4	chr4_93036249	89704960	89704960	89704960	1500	1500	3000	True	chr4_89704960	89703460	89706460	SNCA
chr2	chr2_168586924	168586924	168129365	168591805	457559	4881	462440	True	chr2_168586924	168129365	168591805	STK39
chr4	chr4_79619459	79619459	76278760	79618532	3340699	1500	3342199	True	chr4_79619459	76278760	79620959	FAM47E-STBD1
chr21	chr21_42721125	42721125	42770690	44366954	1500	1645829	1647329	True	chr21_42721125	42719625	44366954	TRPM2
chr10	chr10_103761133	103761133	102875346	103761650	885787	1500	887287	True	chr10_103761133	102875346	103762633	AS3MT
chr11	chr11_113731438	113731438	113659668	113796438	71770	65000	136770	True	chr11_113731438	113659668	113796438	ZW10
chr17	chr17_43485959	43485959	42628829	43523705	857130	37746	894876	True	chr17_43485959	42628829	43523705	TUBG1
chr20	chr20_3203769	3203769	3172857	3220457	30912	16688	47600	True	chr20_3203769	3172857	3220457	LZTS3
chr16	chr16_29173904	29173904	28893412	29195151	280492	21247	301739	True	chr16_29173904	28893412	29195151	ATP2A1
chr2	chr2_23753542	23753542	23718478	24064264	35064	310722	345786	True	chr2_23753542	23718478	24064264	KLHL29
chr2	chr2_161425440	161425440	160967491	161428643	457949	3203	461152	True	chr2_161425440	160967491	161428643	TANK
chr4	chr4_116756661	116756661	113447909	116767813	3308752	11152	3319904	True	chr4_116756661	113447909	116767813	CAMK2D
chr18	chr18_43285152	43285152	43093415	43290007	191737	4855	196592	True	chr18_43285152	43093415	43290007	RIT2
chr3	chr3_58450516	58450516	58316421	58525004	134095	74488	208583	True	chr3_58450516	58316421	58525004	PXK
chr1	chr1_171103954	171103954	171040533	171747480	63421	643526	706947	True	chr1_171103954	171040533	171747480	VAMP4
chr2	chr2_158252118	158252118	157798690	158251207	453428	1500	454928	True	chr2_158252118	157798690	158253618	ACVR1
chr21	chr21_43524807	43524807	43436485	45161847	88322	1637040	1725362	True	chr21_43524807	43436485	45161847	ADARB1
chr20	chr20_6045914	6045914	6005604	6071600	40310	25686	65996	True	chr20_6045914	6005604	6071600	CRLS1
chr8	chr8_7886697	11853604	11853604	11853604	1500	1500	3000	False	chr8_11853604	11852104	11855104	CTSB
chr1	chr1_52606191	52724687	52724687	52724687	1500	1500	3000	False	chr1_52724687	52723187	52726187	ZYG11B
chr8	chr8_22946414	22946414	22672162	22960897	274252	14483	288735	True	chr8_22946414	22672162	22960897	BIN3
chr3	chr3_154713902	154713902	151946018	154777446	2767884	63544	2831428	True	chr3_154713902	151946018	154777446	SUCNR1
chr6	chr6_27156178	27156178	27121944	27287064	34234	130886	165120	True	chr6_27156178	27121944	27287064	POM121L2
chr13	chr13_48562387	49341314	49341314	49341314	1500	1500	3000	False	chr13_49341314	49339814	49342814	CAB39L
chr6	chr6_13538158	13538158	13510920	13664623	27238	126465	153703	True	chr6_13538158	13510920	13664623	RANBP9
chr2	chr2_168717960	168717960	168260515	168756850	457445	38890	496335	True	chr2_168717960	168260515	168756850	STK39
chr12	chr12_71763146	71785666	71785666	71785666	1500	1500	3000	True	chr12_71785666	71784166	71787166	RAB21
chr12	chr12_109561626	109561626	109429101	109586736	132525	25110	157635	True	chr12_109561626	109429101	109586736	MVK
chr10	chr10_120753701	120753701	119856143	120846944	897558	93243	990801	True	chr10_120753701	119856143	120846944	CASC2
chr8	chr8_130999124	130999124	129873161	131061740	1125963	62616	1188579	True	chr8_130999124	129873161	131061740	CYRIB
chr3	chr3_158324992	158324992	155551064	158407522	2773928	82530	2856458	True	chr3_158324992	155551064	158407522	PLCH1
chr9	chr9_17593349	17593349	17580618	17594396	12731	1500	14231	True	chr9_17593349	17580618	17594849	SH3GL2
chr3	chr3_154156646	151405709	151405709	151405709	1500	1500	3000	True	chr3_151405709	151404209	151407209	MED12L
chr1	chr1_231894785	232508908	232508908	232508908	1500	1500	3000	False	chr1_232508908	232507408	232510408	SIPA1L2
chr9	chr9_17714696	17714696	17697570	17747884	17126	33188	50314	True	chr9_17714696	17697570	17747884	SH3GL2
chr1	chr1_160204542	161067049	161067049	161067049	1500	1500	3000	True	chr1_161067049	161065549	161068549	ARHGAP30
